Total protocol
Name	ID	Stages_scores	Total_score	Stage_rewards	Cup_reward	Total_reward	Link_to_athlete
Igor Kulikanov	16310678	[51.27272727272727]	51.27272727272727	[0.5643619706177893]	0.3237094354579801	0.8880714060757693	https://www.strava.com/athletes/16310678
Daniyar Ozhan	41047852	[49.91150442477876]	49.91150442477876	[0.5493789094509453]	0.31511537964936115	0.8644942891003065	https://www.strava.com/athletes/41047852
Денис Павлов	100237652	[49.82332155477032]	49.82332155477032	[0.5484082753353076]	0.31455863869591705	0.8629669140312246	https://www.strava.com/athletes/100237652
Amirlan Mukhitdinov	29319415	[49.735449735449734]	49.735449735449734	[0.5474410649731642]	0.3140038615553599	0.8614449265285242	https://www.strava.com/athletes/29319415
Peter Sobol	334328	[49.647887323943664]	49.647887323943664	[0.54647726028131]	0.3134510378554385	0.8599282981367485	https://www.strava.com/athletes/334328
Alexandr Kononenko	13893004	[49.647887323943664]	49.647887323943664	[0.54647726028131]	0.3134510378554385	0.8599282981367485	https://www.strava.com/athletes/13893004
Alisher Alzhaparov	20423904	[49.38704028021016]	49.38704028021016	[0.5436061012955938]	0.31180418476688104	0.8554102860624748	https://www.strava.com/athletes/20423904
Александр Оконешников	25625417	[47.71573604060914]	47.71573604060914	[0.5252099557356753]	0.30125243570539606	0.8264623914410714	https://www.strava.com/athletes/25625417
Peter Gooding	9415900	[47.23618090452261]	47.23618090452261	[0.5199314637182314]	0.29822477303499006	0.8181562367532215	https://www.strava.com/athletes/9415900
Rinat Gizatulin	22559083	[46.84385382059801]	46.84385382059801	[0.5156130960793756]	0.295747823092839	0.8113609191722145	https://www.strava.com/athletes/22559083
Nurlan Sansyzbayev	6692029	[46.611570247933884]	46.611570247933884	[0.513056336925263]	0.2942813049618001	0.807337641887063	https://www.strava.com/athletes/6692029
Vadim Absalyamov	15054747	[46.07843137254902]	46.07843137254902	[0.5071880454898433]	0.29091534232334815	0.7981033878131915	https://www.strava.com/athletes/15054747
Еркен Арыстанбек	29995449	[45.337620578778136]	45.337620578778136	[0.49903389684852745]	0.28623824678760296	0.7852721436361304	https://www.strava.com/athletes/29995449
Albert Blinkov	44898366	[45.04792332268371]	45.04792332268371	[0.4958451818526903]	0.2844092484055736	0.7802544302582639	https://www.strava.com/athletes/44898366
Ruslan Z.	31012579	[44.620253164556964]	44.620253164556964	[0.49113779088573434]	0.2817091606042548	0.7728469514899892	https://www.strava.com/athletes/31012579
Maxim Potapov	650841	[43.925233644859816]	43.925233644859816	[0.48348766953237404]	0.27732116744842533	0.7608088369807994	https://www.strava.com/athletes/650841
Alen Yeskulov	102067022	[43.856920684292376]	43.856920684292376	[0.4827357446963982]	0.2768898748085366	0.7596256195049348	https://www.strava.com/athletes/102067022
Mikhail Velichko	102809887	[41.839762611275965]	41.839762611275965	[0.46053276534092596]	0.26415458383069595	0.7246873491716219	https://www.strava.com/athletes/102809887
Thomas Browning-Stamp	9823119	[41.77777777777778]	41.77777777777778	[0.45985049457745797]	0.26376324370650234	0.7236137382839603	https://www.strava.com/athletes/9823119
Denis Loginov	8179841	[41.71597633136095]	41.71597633136095	[0.4591702423665446]	0.26337306139332706	0.7225433037598716	https://www.strava.com/athletes/8179841
Kerei Makhanov	15650027	[41.531664212076585]	41.531664212076585	[0.45714150786418867]	0.26220941016478505	0.7193509180289737	https://www.strava.com/athletes/15650027
Abylai Atshabar	9023149	[41.531664212076585]	41.531664212076585	[0.45714150786418867]	0.26220941016478505	0.7193509180289737	https://www.strava.com/athletes/9023149
Marat Inerbaev	16344346	[41.470588235294116]	41.470588235294116	[0.45646924094085894]	0.2618238080910133	0.7182930490318722	https://www.strava.com/athletes/16344346
Dmitry Ryzhov	81837479	[41.288433382137626]	41.288433382137626	[0.45446425159558435]	0.2606737767231172	0.7151380283187015	https://www.strava.com/athletes/81837479
Daniyar Saken	57057065	[41.228070175438596]	41.228070175438596	[0.453799830175123]	0.2602926747103641	0.7140925048854871	https://www.strava.com/athletes/57057065
Шамиль Танирбергенов	92148595	[39.55119214586255]	39.55119214586255	[0.4353423335761348]	0.24970573562677287	0.6850480692029076	https://www.strava.com/athletes/92148595
Дмитрий Васин-Черезов	15869379	[39.221140472879]	39.221140472879	[0.4317094351040113]	0.24762196036424072	0.679331395468252	https://www.strava.com/athletes/15869379
Askerbek Nugumanov	41963502	[38.108108108108105]	38.108108108108105	[0.4194582214051136]	0.24059485067822844	0.660053072083342	https://www.strava.com/athletes/41963502
sanya lol	20794541	[38.00539083557951]	38.00539083557951	[0.41832760625307824]	0.2399463470375863	0.6582739532906645	https://www.strava.com/athletes/20794541
Александр Аритичев	20032248	[37.25231175693527]	37.25231175693527	[0.41003841986761436]	0.23519179590738315	0.6452302157749975	https://www.strava.com/athletes/20032248
Alexandr Suvorov	33401994	[36.38709677419355]	36.38709677419355	[0.400514946890044]	0.22972927677663108	0.6302442236666751	https://www.strava.com/athletes/33401994
Telman🚴‍♂️ Khassan	105346643	[36.246786632390744]	36.246786632390744	[0.39897054478121347]	0.22884343123636125	0.6278139760175747	https://www.strava.com/athletes/105346643
Era Duisenbai	23349284	[36.2002567394095]	36.2002567394095	[0.3984583874708396]	0.2285496655993441	0.6270080530701837	https://www.strava.com/athletes/23349284
Alexey Ananyev	37572548	[35.832274459974585]	35.832274459974585	[0.39440798454864556]	0.2262264161396303	0.6206344006882758	https://www.strava.com/athletes/37572548
Sergey Sedussov	57859469	[35.60606060606061]	35.60606060606061	[0.39191803515124257]	0.22479821906804176	0.6167162542192843	https://www.strava.com/athletes/57859469
Zulyar Turganov	25816056	[34.686346863468636]	34.686346863468636	[0.38179469106984515]	0.21899162300355357	0.6007863140733987	https://www.strava.com/athletes/25816056
